ORF	NAME
tA(AGC)D	
tA(AGC)F	
tA(AGC)G	
tA(AGC)H	
tA(AGC)J	
tA(AGC)K1	
tA(AGC)K2	
tA(AGC)L	
tA(AGC)M1	
tA(AGC)M2	
tA(AGC)P	
tA(UGC)A	
tA(UGC)E	
tA(UGC)G	
tA(UGC)L	
tA(UGC)O	
tA(UGC)Q	
tC(GCA)B	
tC(GCA)G	
tC(GCA)P1	
tC(GCA)P2	
tC(GCA)Q	
tD(GUC)B	
tD(GUC)D	
tD(GUC)G1	
tD(GUC)G2	
tD(GUC)I1	
tD(GUC)I2	
tD(GUC)J1	
tD(GUC)J2	
tD(GUC)J3	
tD(GUC)J4	
tD(GUC)K	
tD(GUC)L1	
tD(GUC)L2	
tD(GUC)M	
tD(GUC)N	
tD(GUC)O	
tD(GUC)Q	
tE(CUC)D	
tE(CUC)I	
tE(UUC)B	
tE(UUC)C	
tE(UUC)E1	
tE(UUC)E2	
tE(UUC)E3	
tE(UUC)G1	SOE1
tE(UUC)G2	
tE(UUC)G3	
tE(UUC)I	
tE(UUC)J	
tE(UUC)K	
tE(UUC)L	
tE(UUC)M	
tE(UUC)P	
tE(UUC)Q	
tF(GAA)B	
tF(GAA)D	
tF(GAA)F	
tF(GAA)G	
tF(GAA)H1	
tF(GAA)H2	
tF(GAA)M	
tF(GAA)N	
tF(GAA)P1	
tF(GAA)P2	
tF(GAA)Q	
tG(CCC)D	SUF3
tG(CCC)O	SUF5
tG(GCC)B	
tG(GCC)C	SUF16
tG(GCC)D1	
tG(GCC)D2	
tG(GCC)E	
tG(GCC)F1	SUF20
tG(GCC)F2	
tG(GCC)G1	
tG(GCC)G2	
tG(GCC)J1	
tG(GCC)J2	
tG(GCC)M	
tG(GCC)O1	
tG(GCC)O2	SUF17
tG(GCC)P1	
tG(GCC)P2	
tG(UCC)G	SUF4
tG(UCC)N	SUF6
tG(UCC)O	SUF1
tG(UCC)Q	
tH(GUG)E1	
tH(GUG)E2	
tH(GUG)G1	
tH(GUG)G2	
tH(GUG)H	
tH(GUG)K	
tH(GUG)M	
tH(GUG)Q	
tI(AAU)B	
tI(AAU)D	
tI(AAU)E1	
tI(AAU)E2	
tI(AAU)G	
tI(AAU)I1	
tI(AAU)I2	
tI(AAU)L1	
tI(AAU)L2	
tI(AAU)N1	
